Regione,Valori assoluti,Valori %,Variazione % 2023/2022
Piemonte,23.038,"6,9","-1,3"
Valle d'Aosta,1.110,"0,3","0,9"
Lombardia,48.528,"14,6","-1,6"
Trentino A.A.,5.593,"1,7","-0,5"
Veneto,24.959,"7,5","-1,7"
Friuli V.G.,6.762,"2,0","-1,3"
Liguria,12.188,"3,7","-0,6"
Emilia Romagna,24.593,"7,4","-1,8"
Toscana,22.037,"6,6","-1,2"
Umbria,4.654,"1,4","-1,8"
Marche,7.869,"2,4","-3,7"
Lazio,35.086,"10,6","-2,7"
Abruzzo,8.595,"2,6","-2,4"
Molise,1.875,"0,6","-1,0"
Campania,34.271,"10,3","-0,6"
Puglia,20.207,"6,1","0,1"
Basilicata,2.837,"0,9","-0,9"
Calabria,11.270,"3,4","0,9"
Sicilia,24.905,"7,5","1,0"
Sardegna,11.511,"3,5","-0,4"
Italia,331.888,"100,0","-1,2"
